CT_titles,ECs,common
"A Phase 1, Open-label, Single-dose Study to Evaluate the Pharmacokinetics and Safety of Linerixibat in Adults With Moderate Hepatic Impairment and Healthy Matched Control Participants",[inclusion] participants with Moderate Hepatic Impairment (Cohort 1): Child-Pugh score of 7-9,
Assessment of Coronary Flow Reserve by Doppler Flow Wire in Patients With Acute Coronary Syndrome Undergoing Percutaneous Coronary Intervention Differences Between the Loading Dose of Ticagrelor and Clopidogrel,[exclusion] glomerular filtration rate < 30 ml/min or requiring haemodialysis,
A Phase 3 Study to Evaluate the Efficacy and Safety of Induction and Maintenance Regimens of Brodalumab Compared With Placebo and Ustekinumab in Subjects With Moderate to Severe Plaque Psoriasis: AMAGINE-3,[exclusion] female subject is unwilling to use highly effective methods of birth control unless 2 years post-menopausal or surgically sterile,1
Buprenorphine Physician-Pharmacist Collaboration in the Management of Patients With Opioid Use Disorder: Clinical Trials Network 0075,"[inclusion] if female, use adequate birth control methods",1
"A Prospective, Randomized, Controlled, Double-blind, Multi-center Clinical Study of Nimotuzumab Combinated With Gemcitabine Contrast to Placebo Combinated With Gemcitabine in K-RAS Wild-type,Locally Advanced and Metastatic Pancreatic Cancer","[exclusion] has a history of malignancy other than the pancreatic cancer (except for the cured cervix in situ or basal cell carcinoma, and a five-year cure other cancers)",
Phase II Study of IMRT Re-Irradiation With Concurrent/Adjuvant Nivolumab in Patients With Locoregionally Recurrent or Second Primary Squamous Cell Cancer of the Head and Neck,[exclusion] ability to understand and the willingness to sign a written informed consent document,1
"A Phase I/IIa Clinical Trial of HIV-1 Vaccines pSG2.HIVconsv DNA, MVA.HIVconsv and Ad35-GRIN in Combined Regimens in Healthy HIV-1/2-negative Adults in Nairobi.",[exclusion] smallpox vaccination within the previous 3 years,
Neuronale Mechanismen Der Sensorischen Reizverarbeitung in Der Narkose,[inclusion] ASA status I or II,
"A Randomized, Multicenter, Controlled, Unblinded Study to Assess the Safety and Efficacy of the NanoKnife∝ System for the Ablation of Unresectable Stage 3 Pancreatic Adenocarcinoma","[inclusion] subject has a tumor evaluated as Stage 3 according to National Comprehensive Cancer Network (NCCN) guidelines, based on radiographic imaging or exploratory surgery",
"Multicenter Endoscopist-blinded Randomized Parallel-group Comparative Study to Assess Efficacy, Safety and Tolerance of Morning-only Dosing Compared to Control Split-dosing With Nocturnal Pause in MOVIPREP∝ Bowel Preparation Prior to Colonoscopy","[exclusion] any condition or circumstance that, in the opinion of the Investigator, would compromise the safety of the participant or the quality of study data",1
"A Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study to Evaluate the Efficacy and Safety of a 200-mcg Dose of CEP-33457 in Patients With Systemic Lupus Erythematosus","[inclusion] if the participant is using antimalarials, methotrexate, leflunomide, mycophenolate mofetil, or azathioprine, the start date must be at least 3 months prior to the first dose of study drug, and the daily dose must be stable over the 4 weeks preceding the first dose of study drug",
A Pilot Study of Duloxetine in Psychological Resilience and Its Correlation With Blockade of Serotonin and Norepinephrine Transporter,[exclusion] clinically significant medical condition or laboratory abnormality,1
Evaluation of a New Formulation Useful for the Osteoarthrosis Treatment,[inclusion] age > 40 years,1
"Safety and Immunogenicity of Recombinant Pichia Pastoris AMA1-DiCo Candidate Malaria Vaccine With GLA-SE and Alhydrogel ∝ as Adjuvant in Healthy Malaria Non-Exposed European and Malaria Exposed African Adults:a Staggered Phase Ia/Ib, Randomised, Double-blind, Multi-Centre Trial",[exclusion] positive serology for malaria antigen PfAMA-1,
"A Multicentric, Randomized, Phase II Study Evaluating the Combination of METFORMIN With TAXOTERE∝+Metformine Placebo Versus TAXOTERE∝+Metformin for the Treatment of Metastatic Hormone-refractory Prostate Cancer.",[exclusion] patients suffering from severe dehydration,
"A Phase 3, Open-label, Multi-center, Single Arm Study to Assess Contraceptive Efficacy and Safety of the Etonogestrel (MK-8415) Implant During Extended Use From 3 Years After Insertion in Females 35 Years of Age or Younger",[exclusion] use of an investigational drug within 2 months prior to enrollment. Long-term follow up of an investigational compound for COVID-19 is allowed 2 months after the last administered dose,1
"An Open-label, Randomized, Multicenter, Clinical Study to Compare the Effects of Telithromycin, Azithromycin and Cefuroxime Axetil on the Penicillin or Macrolide Resistance of Streptococcus Pneumoniae in Patients With Acute Exacerbation of Chronic Bronchitis","[exclusion] patients presenting with any of the following will not be included in the study: Patients with galactose intolerance, lactase deficiency or glucose-galactose malabsorption",
Phase 1 Study of EGFR806-specific CAR T Cell Locoregional Immunotherapy for EGFR-positive Recurrent or Refractory Pediatric Central Nervous System Tumors,[exclusion] presence of active malignancy other than the primary CNS tumor under study,
An Open-Label Randomized Single-Dose Bioequivalence Study of Amlodipine 10 mg Tablets and Norvasc ∝ 10 mg Tablets Under Fed Conditions,[exclusion] hypersensitivity to amlodipine besylate (Norvasc∝)or related calcium channel blockers),1
"ARTSS-IA: A Pilot, Phase IIa, Safety and Feasibility Study of ARgatroban in Combination With Recombinant Tissue Plasminogen Activator Stroke Study - Intra-Arterial","[exclusion] current platelet count < 100,000/mm3",
A Phase 2 Study of AZD2171 (Cediranib) With Modified FOLFOX6 in Patients With Advanced Biliary Cancers,"[inclusion] no patients with uncontrolled intercurrent illness including, but not limited to: Paresthesias, peripheral sensory neuropathy > gr. 1 per Common Terminology Criteria for Adverse Events (CTCAE) v.4, or peripheral motor neuropathy ｜ gr. 2 per CTCAE v.4",
"Phase 2 Dose-escalating, P-C, D-B, Parallel Group Study in HIV Treatment-experienced Patients to Evaluate the Safety, Tolerability and Efficacy of PA103001-04 Administered as Functional Monotherapy for 14 Days *(PART B)",[exclusion] patients unable or unwilling to comply with the dosing schedule and protocol evaluations,1
SHO-SAIKO-TO for Patients With Chronic Hepatitis C Who Are Intolerant to or Have Contraindication to Interferon-Based Therapy: A Phase II Study,[exclusion] patients with diffusing capacity on pulmonary testing less than 70% of predicted AND total lung capacity less than 80% of predicted will be excluded,
"A Multicenter, Randomized, Double-blind, Sham-controlled, Comparative Study of SI-6603 in Subjects With Lumbar Disc Herniation (Phase 3)",[inclusion] subjects with radiculopathy/radicular leg pain in the unilateral leg for 6 weeks or more but 1 year or less,
Investigator Initiated Observational Study of Intravitreal Aflibercept Injection in Subjects With Diabetic Macular Edema Previously Treated With Ranibizumab or Bevacizumab,[exclusion] previous treatment with intravitreal aflibercept injection,1
Nociception Level During Opioid-sparing Anaesthesia Versus Conventional Opioid-based Anaesthesia: a Randomised Controlled Non-inferiority Trial,[inclusion] informed Consent as documented by signature,1
"A Single-Dose, Comparative Bioavailability Study of Two Formulations of Granisetron 1 mg Tablets Under Fasting Conditions",[exclusion] known history or presence of any clinically significant medical condition,1
A Phase I/II Study of GRN163L in Combination With Paclitaxel and Bevacizumab in Patients With Locally Recurrent or Metastatic Breast Cancer,[exclusion] within the last 12 months: Grade 2 or greater peripheral vascular disease,
"A Phase 2, Randomized, Vehicle-Controlled, Double-Blind, Multicenter Study to Evaluate the Safety and Efficacy of Three Once-Daily CLS001 Topical Gels Versus Vehicle Administered for 12 Weeks to Subjects With Acne Vulgaris",[exclusion] subjects with more than 2 facial nodulocystic lesions,
"A Phase Ib/II, Open-Label, Multicentre Study to Assess Safety, Tolerability, Pharmacokinetics and Preliminary Anti-tumour Activity of AZD9150 Plus Durvalumab Alone or in Combination With Chemotherapy in Patients With Advanced, Solid Tumours and Subsequently in Patients With Non-Small-Cell Lung Cancer",[inclusion] part A of the study will include patients that have histological confirmation of a solid malignancy [other than Hepatocellular Carcinoma (HCC)] that is refractory to standard therapy or for which no standard of care regimen currently exists,
A Comparison of Combination Antiemetic Regimen for Prevention of PONV in Breast Surgery Patients,[exclusion] the subject has a diagnosed latex allergy,
"A Phase I/II Study of Active Immunotherapy With Carcinoembryonic Antigen RNA-Pulsed, Autologous, Cultured Dendritic Cells After Complete Resection of Hepatic Metastases of Colorectal Carcinoma",[inclusion] histologically confirmed adenocarcinoma of the colon metastatic to the liver that expresses carcinoembryonic antigen (CEA) after resection with curative intent,
"A Multicenter, Randomized, Double-blind, Placebo Controlled, Dose Escalation Study to Evaluate Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Efficacy of SAP-001 in Gout Patients With Hyperuricemia","[exclusion] history of stomach or intestinal surgery (except that cholecystectomy, appendectomy, and/or hernia repair will be allowed)",
"A Comparative, Multicenter, Open-Label, Randomized, Phase 2 Study of the Safety and Antitumor Activity of Oral Eniluracil + 5 Fluorouracil + Leucovorin Versus Capecitabine Monotherapy in Subjects With Metastatic Breast Cancer","[exclusion] dementia, altered mental status, or any psychiatric condition that would prohibit the understanding or rendering of informed consent",1
Immune Monitoring and Calcineurin Inhibitor (CNI) Withdrawal in Low Risk Recipients of Kidney Transplantation,[exclusion] currently breast-feeding or plans to become pregnant during the timeframe of the study follow up period,1
Pharmacokinetics and Safety of Meropenem in Infants Below 90 Days of Age (Inclusive) With Probable and Confirmed Meningitis: A European Multicenter Phase I-II Trial,"[inclusion] clinical signs consistent with BM (hyperthermia or hypothermia or temperature instability PLUS 1 or more neurological findings among coma, seizures, neck stiffness, apnoea, bulging fontanelle),",
"A Phase II, Single Center Open Label, Prospective Trial to Evaluate the Efficacy and Safety of Mepolizumab for Patients With Refractory or Relapsing Churg Strauss Syndrome",[inclusion] subjects must complete screening and baseline assessment,1
Randomized Control Study of Concerta and Strattera on the Improvement of Executive Function in Attention Deficit Hyperactivity Disorder Children,"[exclusion] any seizure disorder (except for febrile convulsion) or electroencephalogram (EEG) abnormal associated with epilepsy, or currently taking anti-convulsion drugs",
Phase II Study of Denosumab to Define the Role of Bone Related Biomarkers in Breast Cancer Bone Metastasis,[inclusion] patients have positive ER expression in the primary tumor site by IHC (defined as >/=10%) (PR status is not required),
Individualizing Pharmacotherapy: A Novel Optimization Strategy to Increase Smoking Cessation in the African American Community,[inclusion] verified smoker (CO > 5 ppm),1
A Phase II Trial of Daily Bolus Flavopiridol for Five Consecutive Days in Patients With Recurrent/Metastatic Squamous Cell Carcinoma of the Head and Neck (SCCHN),[inclusion] at least 4 weeks since prior radiotherapy and recovered,
A Phase I/II Clinical Study Using Pentamidine in Patients With Locally Advanced or Metastatic Pancreatic Cancer Undergoing Standard Therapy,"[exclusion] peripheral sensory neuropathy (> Grade 1, as per NCI CTCAE version 3.0)",
"An 8-Week Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety and Efficacy of Oral Fispemifene for the Treatment of Sexual Dysfunction in Hypogonadal Men",[exclusion] use of medications known to alter the HPG axis,
"Orient Pharma Co., Ltd.",[exclusion] subject with uncontrolled hypothyroidism according to the investigator's judgment,
"Single-center, Dose Escalation, Open Phase I Clinical Study of Oral TG02 Capsule in the Treatment of Recurrent / Progressive High-grade Glioma Patients With Failed TMZ Treatment","[inclusion] if previous radiotherapy has been performed, it must be completed for a period of more than 3 months, or within 3 months but tumor progression occurs in the original radiation field or has been confirmed by histopathology. ",
